"","confirm","suspect","dead","heal","deadRate","healRate","date"
"1",77,27,0,0,"0.0","0.0","01.20"
"2",149,53,3,0,"2.0","0.0","01.21"
"3",131,257,8,0,"6.1","0.0","01.22"
"4",259,680,8,6,"3.1","2.3","01.23"
"5",444,1118,16,3,"3.6","0.7","01.24"
"6",688,1309,15,11,"2.2","1.6","01.25"
"7",769,3806,24,2,"3.1","0.3","01.26"
"8",1771,2077,26,9,"1.5","0.5","01.27"
"9",1459,3248,26,43,"1.8","2.9","01.28"
"10",1737,4148,38,21,"2.2","1.2","01.29"
"11",1982,4812,43,47,"2.2","2.4","01.30"
"12",2102,5019,46,72,"2.2","3.4","01.31"
"13",2590,4562,45,85,"1.7","3.3","02.01"
"14",2829,5173,57,147,"2.0","5.2","02.02"
"15",3235,5072,64,157,"2.0","4.9","02.03"
"16",3893,3971,65,262,"1.7","6.7","02.04"
"17",3697,5328,73,261,"2.0","7.1","02.05"
"18",3143,4833,73,387,"2.3","12.3","02.06"
"19",3401,4214,86,510,"2.5","15.0","02.07"
"20",2656,3916,89,600,"3.4","22.6","02.08"
"21",3062,4008,97,632,"3.2","20.6","02.09"
"22",2484,3536,108,716,"4.3","28.8","02.10"
"23",2022,3342,97,744,"4.8","36.8","02.11"
"24",15153,2807,254,1173,"1.7","7.7","02.12"
"25",5093,2450,121,1083,"2.4","21.3","02.13"
"26",2644,2277,143,1373,"5.4","51.9","02.14"
"27",2009,1918,142,1324,"7.1","65.9","02.15"
"28",2051,1563,105,1425,"5.1","69.5","02.16"
"29",1891,1432,98,1701,"5.2","90.0","02.17"
"30",1751,1185,136,1826,"7.8","104.3","02.18"
"31",820,1277,115,1781,"14.0","217.2","02.19"
"32",892,1614,118,2109,"13.2","236.4","02.20"
"33",399,1361,109,2394,"27.3","600.0","02.21"
